Incident ID,Year,Month,Country Code,Country,Region,District,City,UN,INGO,ICRC,NRCS and IFRC,NNGO,Other,Nationals killed,Nationals wounded,Nationals kidnapped,Total nationals,Internationals killed,Internationals wounded,Internationals kidnapped,Total internationals,Total killed,Total wounded,Total kidnapped,Total affected,Gender Male,Gender Female,Gender Unknown,Means of attack,Attack context,Location,Motive,Actor type,Actor name,Details,Verified,Source,ActorGroup
9,1997,6,RW,Rwanda,Northern,Musanze,Ruhengeri,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,Shooting,Detention,Unknown,Political,Unknown,Unknown,"1 UN national staff shot and killed in Ruhengeri June 17. Arrested by soldiers on 9 June 1997. The mutilated body was found in the bush near Ruhengeri town, on 13 June and had been tortured and shot through the head.",Archived,Archived,Unknown
10,1997,6,RW,Rwanda,Northern,Musanze,"Ruhengeri, Kigombe",1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shooting,Raid,Home,Political,Unknown,Unknown,"1 UN national staff driver was shot and killed in Ruhengeri along with his wife, their son aged 7 and their daughter aged 6. They were shot through the windows of their house in Kigombe.",Archived,Archived,Unknown
14,1997,6,SO,Somalia,Lower Juba,Kismayo,Unknown,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Unknown,Ambush,Road,Political,Non-state armed group: Regional,Al-Itihaad al-Islamiya,1 INGO driver killed by Al Ittihad militia in Kismayo on June 19.,Archived,Archived,Non-state Armed Group
13,1997,6,SO,Somalia,Bay,Baydhaba,Unknown,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,Shooting,Individual attack,Project site,Incidental,Unknown,Unknown,1 INGO international staffer (Portuguese) shot in Baidoa hospital apparently in revenge for shooter's brother who died in his care.,Archived,Archived,Unknown
16,1997,7,Unknown,Chechnya,Unknown,Unknown,Unknown,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,Unknown,Individual attack,Home,Unknown,Unknown,Unknown,1 INGO local staffer killed in home attack.,Archived,Archived,Unknown
17,1997,7,Unknown,Chechnya,Unknown,Unknown,Unknown,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,1,1,0,Kidnapping,Unknown,Unknown,Political,Unknown,Unknown,2 INGO international (British) staff kidnapped. Released 15 months later after ransom paid.,Archived,Archived,Unknown
18,1997,7,Unknown,Chechnya,Ingushetia,Nazranovsky,Nazran,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,Kidnapping,Unknown,Unknown,Political,Unknown,Unknown,1 INGO international staff kidnapped in Nazran and held 3.6 months before escaping.,Archived,Archived,Unknown
19,1997,7,SO,Somalia,Bakool,Tiyeeglow,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,Kidnapping,Unknown,Unknown,Economic,Staff member,Security guard,1 donor agency international staff official kidnapped by his security guards at Teyeglow. Escaped two days later.,Archived,Archived,Individual
15,1997,7,BD,Bangladesh,Narayanganj,Siddhirganj,Unknown,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shooting,Individual attack,Unknown,Unknown,Unknown,Unknown,"1 UN national staff shot and killed in Siddhirganj, July 17.",Archived,Archived,Unknown
20,1997,8,SO,Somalia,Lower Juba,Kismayo,Unknown,0,2,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,2,0,2,0,Unknown,Individual attack,Unknown,Incidental,Non-state armed group: Subnational,Clan,2 INGO national nurses running a health clinic killed in apparent clan-related revenge killing in Kismayo.,Archived,Archived,Non-state Armed Group
21,1997,8,Unknown,Chechnya,Dagestan,Unknown,Unknown,0,4,0,0,0,0,0,0,0,0,0,0,4,4,0,0,4,4,4,0,0,Kidnapping,Unknown,Unknown,Political,Unknown,Unknown,4 INGO international staff (French) kidnapped in Dagestan and held 3.5 months. Ransom negotiated by French govt.,Archived,Archived,Unknown
23,1997,9,SO,Somalia,Banadir,Banadir,Mogadishu,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,Kidnapping,Unknown,Unknown,Economic,Unknown,Unknown,1 UN national staff kidnapped in Mogadishu over FFW project dispute.,Archived,Archived,Unknown
24,1997,9,SS,South Sudan,Central Equatoria,Juba,Juba,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shooting,Individual attack,Unknown,Unknown,Unknown,Unknown,1 UN national staff shot and killed in Juba.,Archived,Archived,Unknown
22,1997,9,ET,Ethiopia,Jarar,Daror,Ogaden,2,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,2,1,0,1,Shooting,Individual attack,Unknown,Economic,Unknown,Unknown,2 UN national staffers shot dead in apparent robbery attempt in Ogaden region Sept 24.,Archived,Archived,Unknown
25,1997,10,AO,Angola,Unknown,Unknown,Unknown,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Unknown,Ambush,Road,Unknown,Unknown,Unknown,1 UN national staff driver killed in ambush.,Archived,Archived,Unknown
26,1997,10,RW,Rwanda,Unknown,Unknown,Unknown,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Unknown,Ambush,Road,Political,Unknown,Unknown,1 UN national staff driver killed in ambush.,Archived,Archived,Unknown
28,1997,10,AO,Angola,Unknown,Unknown,Unknown,0,2,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,2,2,0,0,Unknown,Ambush,Unknown,Unknown,Unknown,Unknown,2 INGO international (German and Zimbabwean) staff killed in ambush.,Archived,Archived,Unknown
27,1997,10,AF,Afghanistan,Balkh,Mazar-e Sharif,Mazar-e Sharif (200km W of city on Anchoy-Shibirgan road),0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shooting,Combat/Crossfire,Road,Incidental,Unknown,Unknown,1 ICRC national staff killed by stray bullet when three ICRC cars caught in crossfire Anchoy-Shibirgan road 200 kilometres west of Mazar-i-Sharif on Oct 18.,Archived,Archived,Unknown
29,1997,10,Unknown,Chechnya,Grozny,Grozny,Grozny,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,2,0,0,Kidnapping,Unknown,Unknown,Political,Unknown,Unknown,2 INGO international (Hungarian) staff kidnapped in Grozny on Oct 23 and held for 9 months. Severe abuse (mutilations). Ransom paid by Hungarian govt.,Archived,Archived,Unknown
31,1997,11,CG,Congo,Unknown,Unknown,Unknown,0,0,3,0,0,0,1,2,0,3,0,0,0,0,1,2,0,3,0,0,3,Unknown,Ambush,Unknown,Unknown,Unknown,Unknown,"1 ICRC national staff killed and 2 wounded in ambush.
",Archived,Archived,Unknown
30,1997,11,SO,Somalia,Unknown,Unknown,Unknown,4,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,4,4,0,0,4,Kidnapping,Unknown,Unknown,Economic,Unknown,Unknown,3 UN national staff (from two agencies) and 1 from another UN body abducted by gunmen on Nov 22 and released the next day. Involved a charcoal trade dispute.,Yes,Focal Point,Unknown
32,1997,11,SO,Somalia,Middle Shabelle,Balcad,Deganlei,0,3,0,0,0,0,0,0,1,1,0,0,2,2,0,0,3,3,2,1,0,Kidnapping,Raid,Office/compound,Political,Unaffiliated,Not applicable,"2 INGO international staff (1 male 1 female, Italian) and 1 male national staff were kidnapped after 1-hour armed attack on base in Deganlei on Nov 26. Organized by Mogadishu businessman who had a trade dispute with the then Vice Governor of Balad, Mohamed Abshir.",Archived,Archived,Individual
34,1997,12,TJ,Tajikistan,Unknown,Unknown,Unknown,0,2,0,0,0,0,0,0,0,0,1,0,1,2,1,0,1,2,1,1,0,Kidnap-killing,Individual attack,Unknown,Unknown,Unknown,Unknown,"2 INGO international staff (of two different organizations) kidnapped. One victim was fatally wounded when her abductors set off a grenade to kill themselves and their hostage. The other victim was rescued, unharmed.",Archived,Media,Unknown
33,1997,12,Unknown,Chechnya,Unknown,Unknown,Unknown,0,5,0,0,0,0,0,0,0,0,0,0,5,5,0,0,5,5,5,0,0,Kidnapping,Unknown,Unknown,Unknown,Unknown,Unknown,5 INGO international (Polish) staff kidnapped by 15 armed men on Dec 17.,Archived,Media,Unknown
62,1998,6,BI,Burundi,Unknown,Unknown,Unknown,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Unknown,Unknown,Home,Economic,Unknown,Unknown,1 INGO national staff killed in armed robbery on a team house. Month unknown.,Archived,Archived,Unknown
37,1998,1,LK,Sri Lanka,Northern,Vavuniya,Vavuniya,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Unknown,Raid,Project site,Economic,Unknown,Unknown,"1 ICRC national staff murdered when working as a night watchman at the ICRC sub-delegation in Vavuniya, when the sub-delegation",Archived,Archived,Unknown
38,1998,1,CD,DR Congo,Unknown,Unknown,Unknown,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Unknown,Ambush,Road,Unknown,Unknown,Unknown,1 ICRC national staff driver killed in ambush.,Archived,Archived,Unknown
36,1998,1,Unknown,Chechnya,North Ossetia,Unknown,Unknown,2,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,2,2,0,0,Kidnapping,Unknown,Unknown,Political,Unknown,Unknown,1 UN international (French) staff kidnapped and 1 UN national staff driver beaten at gunpoint in N. Ossetia on Jan 29.,Archived,Archived,Unknown
42,1998,3,RW,Rwanda,Unknown,Unknown,Unknown,0,3,0,0,0,0,3,0,0,3,0,0,0,0,3,0,0,3,0,0,3,Unknown,Raid,Project site,Political,Unknown,Unknown,3 INGO staff killed in armed assault on camp (presumed here to be national staff).,Archived,Archived,Unknown
40,1998,3,UG,Uganda,Unknown,Unknown,Unknown,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1 UN national staff killed March 6.,Archived,Archived,Unknown
39,1998,3,SL,Sierra Leone,Eastern,Kailahun,Segbwema,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shooting,Combat/Crossfire,Unknown,Incidental,Non-state armed group: National,Armed Forces Revolutionary Council (AFRC),"1 ICRC national staff member (and his son) killed during killed in an exchange of fire between ECOMOG and the AFRC/RUF near Segbwema.
",Archived,Archived,Non-state Armed Group
44,1998,4,SD,Sudan,Unknown,Unknown,Unknown,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,Aerial bombardment,Unknown,Project site,Incidental,Unknown,Unknown,1 INGO national staff killed in hospital bombing.,Archived,Archived,Unknown
45,1998,4,BI,Burundi,Bujumbura Mairie,Bujumbura,Bujumbura,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,Unknown,Ambush,Unknown,Economic,Unknown,Unknown,"1 INGO international staff ambushed and killed by bandits in Bujumbura, April 22.",Archived,Archived,Unknown
43,1998,4,SO,Somalia,Banadir,Banadir,Mogadishu,0,0,7,3,0,0,0,0,1,1,0,0,9,9,0,0,10,10,2,0,8,Kidnapping,Ambush,Road,Political,Non-state armed group: National,Unknown,"9 internationals and 1 national working for ICRC/IFRC kidnapped as their aircraft landed in Mogadishu (5 ICRC internationals, 2 IFRC delegates, 1 national RC worker kidnapped along with 2 pilots (labelled here as ICRC)). The victims were a Somali, an American, a South African.
",Archived,Archived,Non-state Armed Group
48,1998,6,BI,Burundi,Bujumbura Mairie,Bujumbura,Bujumbura,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,Unknown,Ambush,Unknown,Economic,Unknown,Unknown,1 INGO international (Danish) staff killed by car thieves in Bujumbura.,Archived,Archived,Unknown
46,1998,6,SD,Sudan,South Kordofan,Unknown,Unknown,2,0,0,4,0,0,3,3,0,6,0,0,0,0,3,3,0,6,3,0,3,Shooting,Ambush,Road,Political,Unknown,Unknown,"2 UN national staff killed along with 1 national RC worker were killed when gunmen fired on a UN vehicle in South Kordofan June 9 (3 other RC workers wounded).
",Archived,Archived,Unknown
47,1998,6,ET,Ethiopia,Korahe,Bodaley,Between Gode and Degeh Bur,0,0,6,0,0,0,0,0,0,0,0,0,6,6,0,0,6,6,1,0,5,Kidnapping,Ambush,Road,Political,Non-state armed group: Regional,Al-Itihaad al-Islamiya,"6 ICRC international staff (1 Swiss, 5 Somali) abducted when travelling from Gode to Degeh Bur in three marked vehicles on June 25. On July 3 the Islamic group al-Ittihad al-Islami claimed responsibility, stating that the hostages were under investigation.",Archived,Archived,Non-state Armed Group
50,1998,7,SO,Somalia,Unknown,Unknown,Unknown,7,0,0,0,0,0,2,5,0,7,0,0,0,0,2,5,0,7,0,0,7,Unknown,Ambush,Road,Unknown,Unknown,Unknown,2 UN national staff killed and 5 wounded when convoy attacked.,Archived,Archived,Unknown
49,1998,7,UG,Uganda,Unknown,Unknown,Unknown,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Unknown,Ambush,Road,Political,Non-state armed group: Subnational,Uganda National Rescue Front,1 UN national staff killed in ambush by guerrillas from the Uganda National Rescue Front II on July 8. Vehicle also robbed and blown up.,Archived,Archived,Non-state Armed Group
53,1998,7,BI,Burundi,Bubanza,Gihanga,"Gihanga Commune, RN 9",0,2,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,2,1,1,0,Unknown,Raid,Project site,Unknown,Unknown,Unknown,2 INGO national staff killed in ambush on RN 9 in Bubanza's Gihanga commune July 11.,Archived,Archived,Unknown
51,1998,7,AF,Afghanistan,Nangarhar,Jalalabad,Jalalabad,2,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,2,2,0,0,Kidnap-killing,Unknown,Unknown,Unknown,Unknown,Unknown,"2 UN national staff from different agencies kidnapped in or near Jalalabad on July 13 and later found dead.
",Archived,Archived,Unknown
52,1998,7,BI,Burundi,Bujumbura Mairie,Bujumbura,Bujumbura,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,Unknown,Individual attack,Unknown,Unknown,Unknown,Unknown,1 UN international staffer killed in Bujumbura on July 24.,Archived,Archived,Unknown
54,1998,8,AF,Afghanistan,Unknown,Unknown,Unknown,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shooting,Combat/Crossfire,Unknown,Incidental,Non-state armed group: National,Taliban,1 UN national staff killed while fleeing advancing Taliban forces. Discovered Nov 27.,Archived,Archived,Non-state Armed Group
55,1998,8,XK,Kosovo,Unknown,Unknown,Unknown,0,0,0,0,3,0,3,0,0,3,0,0,0,0,3,0,0,3,0,0,3,Unknown,Individual attack,Road,Political,Unknown,Unknown,3 NGO national staff killed while delivering INGO parcels.,Archived,Archived,Unknown
56,1998,9,XK,Kosovo,Unknown,Unknown,Unknown,0,0,4,0,0,0,1,2,0,3,0,1,0,1,1,3,0,4,1,0,3,Landmine ,Ambush,Road,Incidental,Unknown,Unknown,"1 ICRC male national staff killed and 3 ICRC (1 international New Zealand, 2 nationals) staff wounded when ICRC car hit landmine.",Archived,Archived,Unknown
57,1998,9,SO,Somalia,Banadir,Banadir,Mogadishu,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,Kidnapping,Unknown,Unknown,Unknown,Unknown,Unknown,1 INGO international (Italian) staff working at an INGO run hospital kidnapped and held for several days.,Archived,Archived,Unknown
59,1998,11,AO,Angola,Unknown,Unknown,Unknown,3,0,0,0,0,0,2,1,0,3,0,0,0,0,2,1,0,3,0,0,3,Unknown,Ambush,Road,Unknown,Unknown,Unknown,2 UN national staff killed and 1 wounded in convoy ambush.,Archived,Archived,Unknown
58,1998,11,AO,Angola,Bie,Kuito,Unknown,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shooting,Raid,Office/compound,Unknown,Unknown,Unknown,1 UN national staff shot and killed while guarding warehouse in Kuito on Nov 14.,Archived,Archived,Unknown
60,1998,12,AO,Angola,Unknown,Unknown,Unknown,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,Unknown,Individual attack,Unknown,Unknown,Unknown,Unknown,1 INGO national female staff killed.,Archived,Archived,Unknown
64,1999,1,SO,Somalia,Banadir,Banadir,"Mogadishu, Lenin Road",0,2,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,2,2,0,0,Unknown,Ambush,Road,Political,Unknown,Unknown,"2 INGO national staff killed in ambush in south Mogadishu, Lenin Road. Not clear if the attack aimed at the organization",Archived,Archived,Unknown
65,1999,1,SL,Sierra Leone,Unknown,Unknown,Unknown,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,Unknown,Individual attack,Home,Unknown,Unknown,Unknown,1 INGO national staff killed in house attack.,Archived,Archived,Unknown
66,1999,1,SO,Somalia,Gedo,Unknown,Unknown,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,Shooting,Unknown,Unknown,Economic,Unknown,Unknown,1 NGO international (Kenyan) staff shot dead in Gede region. Incident possibly stemmed from a labour dispute.,Archived,Archived,Unknown
67,1999,1,YE,Yemen,Unknown,Unknown,Unknown,0,4,0,0,0,0,0,0,0,0,0,0,4,4,0,0,4,4,2,2,0,Kidnapping,Raid,Unknown,Unknown,Non-state armed group: Subnational,Armed tribesmen,"4 INGO international (2 British, 2 Dutch) staff kidnapped by armed tribesmen and later released.",Archived,Archived,Non-state Armed Group
63,1999,1,AO,Angola,Unknown,Unknown,Unknown,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,Shelling,Unknown,Road,Unknown,Unknown,Unknown,1 UN national staff killed when MONUA chartered plane shot down Jan 2.,Archived,Archived,Unknown
68,1999,2,SD,Sudan,Unity,Rubkona,Bentiu,0,0,2,4,0,0,4,0,0,4,0,0,2,2,4,0,2,6,0,0,6,Kidnap-killing,Unknown,Unknown,Political,Unknown,Unknown,"2 ICRC international (Swiss) staff and 4 national RC workers kidnapped. Swiss released in March, Sudanese killed April.
",Archived,Archived,Unknown
69,1999,3,SO,Somalia,Lower Juba,Badhaadhe,Ras Kambooni,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,Body-borne IED,Individual attack,Project site,Political,Non-state armed group: Regional,Al-Itihaad al-Islamiya,"1 INGO international staff killed in Ras Kambooni, lower Juba, while meeting with elders. Suspected to be carried out by Al-Ittihad militia.",Archived,Archived,Non-state Armed Group
70,1999,4,AF,Afghanistan,Unknown,Unknown,Unknown,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Aerial bombardment,Unknown,Unknown,Incidental,State: unknown,Not applicable,1 ICRC national staff killed in air raid.,Archived,Archived,State Actor
71,1999,4,SO,Somalia,Unknown,Unknown,Unknown,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,Kidnapping,Unknown,Unknown,Economic,Unknown,Unknown,1 INGO international (Italian) staff kidnapped for ransom and released with ransom unpaid.,Archived,Archived,Unknown
73,1999,4,ET,Ethiopia,Unknown,Unknown,Unknown,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,Kidnapping,Unknown,Unknown,Unknown,Unknown,Unknown,1 INGO international (French) staff kidnapped and later released,Archived,Archived,Unknown
72,1999,4,AO,Angola,Unknown,Unknown,Unknown,0,5,0,0,0,0,5,0,0,5,0,0,0,0,5,0,0,5,0,0,5,Unknown,Ambush,Road,Unknown,Unknown,Unknown,5 INGO and NGOs national staff killed in ambush April 14.,Archived,Archived,Unknown
74,1999,5,SD,Sudan,Unknown,Unknown,Unknown,3,0,0,0,0,0,1,2,0,3,0,0,0,0,1,2,0,3,3,0,0,Unknown,Raid,Road,Unknown,Unknown,Unknown,1 UN national staff killed and 2 wounded when relief barge on Nile in Sudan was attacked.,Archived,Archived,Unknown
75,1999,5,Unknown,Chechnya,Kabardino-Balkaria,Unknown,Unknown,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,Kidnapping,Unknown,Unknown,Unknown,Unknown,Unknown,1 ICRC international staff kidnapped in Kabardino-Balkaria May 15. Released July 19.,Archived,Archived,Unknown
76,1999,6,BI,Burundi,Baki,Unknown,Unknown,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,Shooting,Unknown,Unknown,Political,Non-state armed group: National,Interahamwe,1 UN national staff injured when vehicle shot at by the suspected militant Hutu group Interahamwe.,Archived,Archived,Non-state Armed Group
77,1999,6,SO,Somalia,Awdal,Baki,Unknown,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,0,0,2,Kidnapping,Unknown,Unknown,Unknown,Non-state armed group: Subnational,Militia,"2 UN national staff kidnapped by militia in Baki, released after intervention by UN and authorities.",Archived,Archived,Non-state Armed Group
78,1999,6,AO,Angola,Bengo,Icolo e Bengo,Barraca,0,4,0,0,0,0,2,2,0,4,0,0,0,0,2,2,0,4,1,0,3,Unknown,Raid,Project site,Political,Non-state armed group: National,National Union for the Total Independence of Angola,"2 INGO national staff killed and 2 wounded when ambushed by armed men wearing UNITA uniforms during polio eradication campaign in Barraca, Bengo Province.",Archived,Archived,Non-state Armed Group
79,1999,6,AO,Angola,Uige,Unknown,Unknown,0,2,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,2,0,0,2,Unknown,Ambush,Road,Unknown,Unknown,Unknown,2 INGO national staff killed when 80-truck convoy was ambushed in the north Angolan province of Uije including some aid vehicles June 16. Approximately 60 dead or missing including 54 civilians.,Archived,Archived,Unknown
80,1999,7,BI,Burundi,Bujumbura Mairie,Bujumbura,Bujumbura,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1 UN international (Italian) staff killed in Bujumbura July 24.,Archived,Archived,Unknown
82,1999,8,ID,Indonesia,East Timor,Unknown,Unknown,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1 INGO national staff found murdered in E. Timor.,Archived,Archived,Unknown
81,1999,8,SL,Sierra Leone,Unknown,Unknown,Unknown,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,0,0,2,Kidnapping,Unknown,Unknown,Political,Non-state armed group: National,Armed Forces Revolutionary Council (AFRC),2 UN international staff among 33 from UN group kidnapped by AFRC faction Aug 4 and released Aug 11.,Archived,Archived,Non-state Armed Group
83,1999,8,LR,Liberia,Lofa,Kolahun,Kolahun,0,6,0,0,0,0,0,0,0,0,0,0,6,6,0,0,6,6,4,2,0,Kidnapping,Unknown,Unknown,Unknown,Unknown,Unknown,"6 INGO international (4 British, 1 Norwegian, 1 Italian) staff kidnapped in Kolahun Aug 11. Released unharmed 2 days later.",Archived,Archived,Unknown
86,1999,9,SO,Somalia,Gedo,Garbahaarey,Garbahaarey,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Unknown,Combat/Crossfire,Unknown,Incidental,Non-state armed group: Subnational,Unknown,1 INGO national staff was killed in attack in Somalia on Sept 14. The victim was among 10 people killed when rival factions fought for the control of the southern town Garbaharey.,Archived,Archived,Non-state Armed Group
84,1999,9,SO,Somalia,Unknown,Unknown,Unknown,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shooting,Ambush,Road,Unknown,Unknown,Unknown,1 UN national staff killed in road shooting Sept 15-16.,Archived,Archived,Unknown
